Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country
AFL,Aflac,Accident & health insurance,Finance,INS-ACC & HLTH,INSURANCE,Y,UNITED STATES
AFLYY,Air France-KLM,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,N,FRANCE
AFMDQ,Affimed,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,GERMANY
AFML,AEROFOAM METALS,,,,,,
AFOM,All For One Media,Amusement & recreation services,Consumer Discretionary,MOVIE/TV PRD&DIST,MEDIA,N,UNITED STATES
AFPW,ALUMIFUEL PWR,,,,,,
AFRI,FORAFRIC GLOBAL,Grain mill products,Consumer Staples,AGRI OPERATIONS,FOOD,N,UNITED KINGDOM
AFRM,Affirm,Personal credit institutions,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
AFTM,Aftermaster,Radio & t.v. communications equipment,Consumer Discretionary,AUDIO/VIDEO PRD,CONSUMER ELECTRONICS,N,UNITED STATES
AFYA,Afya,Educational services,Consumer Discretionary,SCHOOLS,OTHER CONS DISC,Y,BRAZIL
AG,First Majestic Silver,Gold & silver ores,Basic Materials,MINING -SILVER,METALS-NON FERR,Y,CANADA
AGAE,Allied Gaming & Entertainment Inc.,Amusement & recreation services,Consumer Discretionary,GAMING,LEISURE SERVICES,N,UNITED STATES
AGCC,Agencia Comercial Spirits Ltd,"Beer, wine, & distilled alcoholic beverages",Consumer Staples,BEVERAGES-ALCOH,BEVERAGES,N,"TAIWAN, PROVINCE OF CHINA"
AGCO,AGCO,Farm machinery & equipment,Industrial Products,MACH-FARM,MACHINERY,Y,UNITED STATES
AGCZ,Andes Gold,Gold ores,Basic Materials,MINING -GOLD,METALS-NON FERR,N,
AGEN,Agenus,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
AGESY,Ageas,Private households,Finance,INS-MULTI LINE,INSURANCE,N,BELGIUM
AGGX,ANGIOGENEX INC,,,,,,
AGH,Aureus Greenway Holdings Inc.,Membership sports & recreation clubs,Consumer Discretionary,LEISURE&REC SVS,LEISURE SERVICES,N,UNITED STATES
AGHC,AEON Global Health,Medical laboratories,Medical,Medical Services,MEDICAL CARE,N,UNITED STATES
AGI,Alamos Gold,Gold & silver ores,Basic Materials,MINING -GOLD,METALS-NON FERR,Y,CANADA
AGIG,"Abundia Global Impact Group, Inc.",Crude petroleum & natural gas,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,N,UNITED STATES
AGILQ,AgileThought,Management consulting services,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES
AGIO,Agios Pharmaceuticals,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
AGL,Agilon Health,"Miscellaneous health & allied services, not elsewhere classified",Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES
AGM,Federal Agricultural Mortgage,Federal & federally sponsored credit,Finance,FIN-MTG&REL SVS,FINANCE,Y,UNITED STATES
AGM.A,FED AGR MTG-A,,,,,,
